year,month,syndrome,age_group,ed_type,relative_cases_avg,relative_cases_7day_ma_avg,expected_value_avg,expected_lowerbound_avg,expected_upperbound_avg,ed_count_sum
2021,5,ARI,00+,central,6.467354838709677,6.64621198156682,6.194618126863225,4.222038493759303,8.404385200376458,558
2021,5,ARI,10-14,all,1.252483870967742,1.2835760368663587,3.3603000678457664,1.939619062125657,5.019650203586313,370
2021,5,ARI,10-14,central,1.252483870967742,1.2835760368663587,2.9306661523201716,1.6128740184076593,4.4873194742162426,370
2021,5,ARI,15-19,all,2.6823870967741934,2.496603686635945,3.8800511233381743,2.3448874122641494,5.653174119799358,491
2021,5,ARI,15-19,central,2.6823870967741934,2.496603686635945,3.708980796575354,2.211021442547286,5.444942603887443,491
2021,5,ARI,20-39,all,3.6771935483870966,3.8520276497695853,4.129615917072562,2.5428643601816985,5.953951934844871,557
2021,5,ARI,20-39,central,3.6771935483870966,3.8520276497695853,4.129615917072562,2.5428643601816985,5.953951934844871,557
2021,5,ARI,40-59,all,5.515225806451613,5.869142857142857,4.651892335419833,2.959788599408299,6.5814475195748665,558
2021,5,ARI,40-59,central,5.515225806451613,5.869142857142857,4.651892335419833,2.959788599408299,6.5814475195748665,558
2021,5,ARI,5-9,all,3.9211290322580648,3.4633225806451606,6.043751145320407,4.093521549553658,8.232118653998084,389
2021,5,ARI,5-9,central,3.9211290322580648,3.4633225806451606,5.272898849566807,3.460442087259929,7.323460181523675,389
2021,5,ARI,60-79,all,8.743838709677421,8.827294930875574,7.5877533369348535,5.390811889810488,10.021743208472646,558
2021,5,ARI,60-79,central,8.743838709677421,8.827294930875574,7.5877533369348535,5.390811889810488,10.021743208472646,558
2021,5,ARI,80+,all,9.250548387096774,9.525967741935487,8.429302523880708,6.106921474867352,10.98867090527535,558
2021,5,ARI,80+,central,9.250548387096774,9.525967741935487,8.429302523880708,6.106921474867352,10.98867090527535,558
2021,5,COVID,0-4,all,0.04961290322580645,0.04961290322580652,,,,210
2021,5,COVID,0-4,central,0.04961290322580645,0.04961290322580652,,,,210
2021,5,COVID,00+,all,0.7080322580645161,0.8119400921658985,,,,310
2021,5,COVID,00+,central,0.7080322580645161,0.8119400921658985,,,,310
2021,5,COVID,10-14,all,0.0,0.0,,,,207
2021,5,COVID,10-14,central,0.0,0.0,,,,207
2021,5,COVID,15-19,all,0.2435483870967742,0.2470967741935483,,,,267
2021,5,COVID,15-19,central,0.2435483870967742,0.2470967741935483,,,,267
2021,5,COVID,20-39,all,0.38312903225806455,0.4729677419354836,,,,310
2021,5,COVID,20-39,central,0.38312903225806455,0.4729677419354836,,,,310
2021,5,COVID,40-59,all,0.9690645161290322,1.104041474654378,,,,310
2021,5,COVID,40-59,central,0.9690645161290322,1.104041474654378,,,,310
2021,5,COVID,5-9,all,0.0,0.0,,,,215
2021,5,COVID,5-9,central,0.0,0.0,,,,215
2021,5,COVID,60-79,all,1.1755161290322582,1.3528156682027648,,,,310
2021,5,COVID,60-79,central,1.1755161290322582,1.3528156682027648,,,,310
2021,5,COVID,80+,all,0.6567096774193548,0.7283778801843315,,,,310
2021,5,COVID,80+,central,0.6567096774193548,0.7283778801843315,,,,310
2021,5,GI,0-4,all,4.797548387096774,4.7784423963133635,6.061412495296438,4.110452175590109,8.24975128142945,393
2021,5,GI,0-4,central,4.797548387096774,4.7784423963133635,5.6934900813963125,3.8063741130628124,7.8181093418454894,393
2021,5,GI,00+,all,2.0811935483870965,2.119529953917051,2.3404891536882766,1.1787270699762937,3.740757805415645,558
2021,5,GI,00+,central,2.0811935483870965,2.119529953917051,2.220161689064047,1.0922232562288394,3.5867244533555467,558
2021,5,GI,10-14,all,1.830290322580645,1.8694608294930872,2.367589574639241,1.1972495492525617,3.77692810185336,370
2021,5,GI,10-14,central,1.830290322580645,1.8694608294930872,2.078622773894217,0.9904332298692496,3.406251044980142,370
2021,5,GI,15-19,all,1.5754516129032257,1.6585437788018433,2.225790365878666,1.095838140380001,3.5945736375959974,491
2021,5,GI,15-19,central,1.5754516129032257,1.6585437788018433,2.106477930151914,1.010915573224924,3.44103098768897,491
2021,5,GI,20-39,all,1.6803870967741934,1.7177419354838717,2.1072966637279364,1.0119452518755754,3.4413941031981907,557
2021,5,GI,20-39,central,1.6803870967741934,1.7177419354838717,2.1072966637279364,1.0119452518755754,3.4413941031981907,557
2021,5,GI,40-59,all,1.6146774193548388,1.640115207373272,1.5706086985896566,0.6441144458537528,2.7366929922911836,558
2021,5,GI,40-59,central,1.6146774193548388,1.640115207373272,1.5706086985896566,0.6441144458537528,2.7366929922911836,558
2021,5,GI,5-9,all,2.399677419354839,2.308917050691245,4.193045502438373,2.5913438761736813,6.032809942833324,389
2021,5,GI,5-9,central,2.399677419354839,2.308917050691245,3.7370457686414165,2.2321238734198943,5.480250471636911,389
2021,5,GI,60-79,all,2.223258064516129,2.337447004608296,2.009768589406703,0.9432907358264555,3.3151134591810525,558
2021,5,GI,60-79,central,2.223258064516129,2.337447004608296,2.009768589406703,0.9432907358264555,3.3151134591810525,558
2021,5,GI,80+,all,2.2873225806451614,2.270046082949309,2.1875161057191774,1.06890802998673,3.544786376117494,558
2021,5,GI,80+,central,2.2873225806451614,2.270046082949309,2.1875161057191774,1.06890802998673,3.544786376117494,558
